code,name,listing_date,shares,listing_board
BKSW,Bank QNB Indonesia Tbk.,2002-11-21T00:00:00,34806467881.0,Pengembangan
BLTA,Berlian Laju Tanker Tbk,1990-03-26T00:00:00,25940187103.0,Pemantauan Khusus
BLTZ,Graha Layar Prima Tbk.,2014-04-10T00:00:00,873937142.0,Pemantauan Khusus
BMAS,Bank Kasikorn Indonesia Tbk.,2013-07-11T00:00:00,17921635680.0,Pengembangan
BMRI,Bank Mandiri (Persero) Tbk.,2003-07-14T00:00:00,92399999996.0,Utama
BMSR,Bintang Mitra Semestaraya Tbk,1999-12-29T00:00:00,1159200024.0,Pengembangan
BMTR,Global Mediacom Tbk.,1995-07-17T00:00:00,16583997586.0,Utama
BNBA,Bank Bumi Arta Tbk.,2006-06-01T00:00:00,3354120000.0,Pengembangan
BNBR,Bakrie & Brothers Tbk,1989-08-28T00:00:00,263336671587.0,Pengembangan
BNGA,Bank CIMB Niaga Tbk.,1989-11-29T00:00:00,24890783784.0,Utama
BNII,Bank Maybank Indonesia Tbk.,1989-11-21T00:00:00,75357433911.0,Utama
BNLI,Bank Permata Tbk.,1990-01-15T00:00:00,35819545925.0,Utama
BOLT,Garuda Metalindo Tbk.,2015-07-07T00:00:00,2343750000.0,Pengembangan
BPFI,Woori Finance Indonesia Tbk.,2009-06-01T00:00:00,2673995362.0,Pengembangan
BPII,Batavia Prosperindo Internasio,2014-07-08T00:00:00,9884153240.0,Pengembangan
BRAM,Indo Kordsa Tbk.,1990-09-05T00:00:00,450056980.0,Pengembangan
BRMS,Bumi Resources Minerals Tbk.,2010-12-09T00:00:00,141784040338.0,Utama
BRNA,Berlina Tbk.,1989-11-06T00:00:00,979110000.0,Pengembangan
BRPT,Barito Pacific Tbk.,1993-10-01T00:00:00,93747218044.0,Utama
BSDE,Bumi Serpong Damai Tbk.,2008-06-06T00:00:00,21171365812.0,Utama
BSIM,Bank Sinarmas Tbk.,2010-12-13T00:00:00,19517921842.0,Utama
BSSR,Baramulti Suksessarana Tbk.,2012-11-08T00:00:00,2616500000.0,Utama
BSWD,Bank Of India Indonesia Tbk.,2002-05-01T00:00:00,3651978177.0,Pemantauan Khusus
BTEK,Bumi Teknokultura Unggul Tbk,2004-05-14T00:00:00,46277496376.0,Pemantauan Khusus
BTEL,Bakrie Telecom Tbk.,2006-02-03T00:00:00,38330244255.0,Pemantauan Khusus
BTON,Betonjaya Manunggal Tbk.,2001-07-18T00:00:00,720000000.0,Pengembangan
BTPN,Bank SMBC Indonesia Tbk.,2008-03-12T00:00:00,10536203690.0,Utama
BUDI,Budi Starch & Sweetener Tbk.,1995-05-08T00:00:00,4498997362.0,Utama
BUKK,Bukaka Teknik Utama Tbk.,2015-06-29T00:00:00,2640452000.0,Pengembangan
BULL,Buana Lintas Lautan Tbk.,2011-05-23T00:00:00,15494436593.0,Pengembangan
BUMI,Bumi Resources Tbk.,1990-07-30T00:00:00,371335392068.0,Utama
BUVA,Bukit Uluwatu Villa Tbk.,2010-07-12T00:00:00,24617054642.0,Pengembangan
BVIC,Bank Victoria International Tb,1999-06-30T00:00:00,18235266754.0,Utama
BWPT,Eagle High Plantations Tbk.,2009-10-27T00:00:00,31525291000.0,Utama
BYAN,Bayan Resources Tbk.,2008-08-12T00:00:00,33333335000.0,Utama
CANI,Capitol Nusantara Indonesia Tb,2014-01-16T00:00:00,833440000.0,Pemantauan Khusus
CASS,Cahaya Aero Services Tbk.,2011-12-05T00:00:00,2086950000.0,Utama
CEKA,Wilmar Cahaya Indonesia Tbk.,1996-07-09T00:00:00,595000000.0,Pengembangan
CENT,Centratama Telekomunikasi Indo,2001-11-01T00:00:00,31183464900.0,Pengembangan
CFIN,Clipan Finance Indonesia Tbk.,1990-08-27T00:00:00,3984520457.0,Utama
CINT,Chitose Internasional Tbk.,2014-06-27T00:00:00,1000000000.0,Pengembangan
CITA,Cita Mineral Investindo Tbk.,2002-03-20T00:00:00,3960361250.0,Utama
CLPI,Colorpak Indonesia Tbk.,2001-11-30T00:00:00,306338500.0,Pengembangan
CMNP,Citra Marga Nusaphala Persada ,1995-01-10T00:00:00,6696354391.0,Utama
CMPP,AirAsia Indonesia Tbk.,1994-12-08T00:00:00,10685124441.0,Pemantauan Khusus
CNKO,Exploitasi Energi Indonesia Tb,2001-11-20T00:00:00,8956361206.0,Pemantauan Khusus
COWL,Cowell Development Tbk.,2007-12-19T00:00:00,4871214021.0,Pemantauan Khusus
CPIN,Charoen Pokphand Indonesia Tbk,1991-03-18T00:00:00,16398000000.0,Utama
CPRO,Central Proteina Prima Tbk.,2006-11-28T00:00:00,59572382787.0,Pengembangan
CSAP,Catur Sentosa Adiprana Tbk.,2007-12-12T00:00:00,5683175151.0,Pengembangan
CTBN,Citra Tubindo Tbk.,1989-11-28T00:00:00,800371500.0,Pengembangan
CTRA,Ciputra Development Tbk.,1994-03-28T00:00:00,18535695255.0,Utama
CTTH,Citatah Tbk.,1996-07-03T00:00:00,1230839821.0,Pengembangan
DART,Duta Anggada Realty Tbk.,1990-05-08T00:00:00,3141390962.0,Pengembangan
DEFI,Danasupra Erapacific Tbk.,2001-07-06T00:00:00,687266666.0,Pengembangan
DEWA,Darma Henwa Tbk,2007-09-26T00:00:00,40687434244.0,Utama
DGIK,Nusa Konstruksi Enjiniring Tbk,2007-12-19T00:00:00,5541165000.0,Pengembangan
DILD,Intiland Development Tbk.,1991-09-04T00:00:00,10365854185.0,Utama
DKFT,Central Omega Resources Tbk.,1997-11-21T00:00:00,5638246600.0,Utama
DLTA,Delta Djakarta Tbk.,1984-02-27T00:00:00,800659050.0,Utama
DMAS,Puradelta Lestari Tbk.,2015-05-29T00:00:00,48198111100.0,Utama
DNAR,Bank Oke Indonesia Tbk.,2014-07-11T00:00:00,16721891185.0,Pengembangan
DNET,Indoritel Makmur Internasional,2000-12-11T00:00:00,14184000000.0,Utama
DOID,BUMA Internasional Grup Tbk.,2001-06-15T00:00:00,7651007132.0,Pengembangan
DPNS,Duta Pertiwi Nusantara Tbk.,1990-08-08T00:00:00,331129952.0,Pengembangan
DSFI,Dharma Samudera Fishing Indust,2000-03-24T00:00:00,1857135500.0,Pengembangan
DSNG,Dharma Satya Nusantara Tbk.,2013-06-14T00:00:00,10599842400.0,Utama
DSSA,Dian Swastatika Sentosa Tbk,2009-12-10T00:00:00,192638080000.0,Utama
DUTI,Duta Pertiwi Tbk,1994-11-02T00:00:00,1850000000.0,Pemantauan Khusus
DVLA,Darya-Varia Laboratoria Tbk.,1994-11-11T00:00:00,1120000000.0,Pengembangan
DYAN,Dyandra Media International Tb,2013-03-25T00:00:00,4272964279.0,Pengembangan
ECII,Electronic City Indonesia Tbk.,2013-07-03T00:00:00,1334333000.0,Pengembangan
EKAD,Ekadharma International Tbk.,1990-08-14T00:00:00,3493875000.0,Pengembangan
ELSA,Elnusa Tbk.,2008-02-06T00:00:00,7298500000.0,Utama
ELTY,Bakrieland Development Tbk.,1995-10-30T00:00:00,43521913019.0,Pemantauan Khusus
EMDE,Megapolitan Developments Tbk.,2011-01-12T00:00:00,3350000000.0,Pengembangan
EMTK,Elang Mahkota Teknologi Tbk.,2010-01-12T00:00:00,61426451483.0,Utama
ENRG,Energi Mega Persada Tbk.,2004-06-07T00:00:00,26564543750.0,Utama
EPMT,Enseval Putera Megatrading Tbk,1994-08-01T00:00:00,2708640000.0,Utama
ERAA,Erajaya Swasembada Tbk.,2011-12-14T00:00:00,15950000000.0,Utama
ERTX,Eratex Djaja Tbk.,1990-08-21T00:00:00,1286539792.0,Pengembangan
ESSA,ESSA Industries Indonesia Tbk.,2012-02-01T00:00:00,17226975700.0,Utama
ESTI,Ever Shine Tex Tbk.,1992-10-13T00:00:00,2015208720.0,Pengembangan
ETWA,Eterindo Wahanatama Tbk,1997-05-16T00:00:00,4668671400.0,Pemantauan Khusus
EXCL,XLSMART Telecom Sejahtera Tbk.,2005-09-29T00:00:00,18199862451.0,Utama
FAST,Fast Food Indonesia Tbk.,1993-05-11T00:00:00,4523610492.0,Pengembangan
FASW,Fajar Surya Wisesa Tbk.,1994-12-19T00:00:00,3221255423.0,Pemantauan Khusus
FISH,FKS Multi Agro Tbk.,2002-01-18T00:00:00,4800000000.0,Utama
FMII,Fortune Mate Indonesia Tbk,2000-06-30T00:00:00,6400000000.0,Pengembangan
FORU,Fortune Indonesia Tbk,2002-01-17T00:00:00,465224000.0,Pengembangan
FPNI,Lotte Chemical Titan Tbk.,2002-03-21T00:00:00,5566414000.0,Pengembangan
GAMA,Aksara Global Development Tbk.,2012-07-11T00:00:00,10011027656.0,Pemantauan Khusus
GDST,Gunawan Dianjaya Steel Tbk.,2009-12-23T00:00:00,9242500000.0,Pengembangan
GDYR,Goodyear Indonesia Tbk.,1980-12-22T00:00:00,410000000.0,Pengembangan
GEMA,Gema Grahasarana Tbk.,2002-08-12T00:00:00,1600000000.0,Pengembangan
GEMS,Golden Energy Mines Tbk.,2011-11-17T00:00:00,5882353000.0,Utama
GGRM,Gudang Garam Tbk.,1990-08-27T00:00:00,1924088000.0,Utama
GIAA,Garuda Indonesia (Persero) Tbk,2011-02-11T00:00:00,407091703837.0,Pengembangan
GJTL,Gajah Tunggal Tbk.,1990-05-08T00:00:00,3484800000.0,Utama
GLOB,Globe Kita Terang Tbk.,2012-07-10T00:00:00,1111112000.0,Pemantauan Khusus
GMTD,Gowa Makassar Tourism Developm,2000-12-11T00:00:00,1015380000.0,Pengembangan
GOLD,Visi Telekomunikasi Infrastruk,2010-07-07T00:00:00,1277276000.0,Pengembangan
GOLL,Golden Plantation Tbk.,2014-12-23T00:00:00,3665000759.0,Pemantauan Khusus
GPRA,Perdana Gapuraprima Tbk.,2007-10-10T00:00:00,4276655336.0,Pengembangan
GSMF,Equity Development Investment ,1989-10-23T00:00:00,15456814805.0,Pengembangan
GTBO,Garda Tujuh Buana Tbk,2009-07-09T00:00:00,2500000000.0,Pengembangan
GWSA,Greenwood Sejahtera Tbk.,2011-12-23T00:00:00,7800760000.0,Pengembangan
GZCO,Gozco Plantations Tbk.,2008-05-15T00:00:00,6000000000.0,Utama
HADE,Himalaya Energi Perkasa Tbk.,2004-04-12T00:00:00,2120000000.0,Pemantauan Khusus
HDFA,Radana Bhaskara Finance Tbk.,2011-05-10T00:00:00,6542445783.0,Pengembangan
HERO,DFI Retail Nusantara Tbk.,1989-08-21T00:00:00,4183634000.0,Utama
HEXA,Hexindo Adiperkasa Tbk.,1995-02-13T00:00:00,840000000.0,Utama
HITS,Humpuss Intermoda Transportasi,1997-12-15T00:00:00,7101084801.0,Pemantauan Khusus
HMSP,H.M. Sampoerna Tbk.,1990-08-15T00:00:00,116318076900.0,Utama
HOME,Hotel Mandarine Regency Tbk.,2008-07-17T00:00:00,22212194782.0,Pemantauan Khusus
HOTL,Saraswati Griya Lestari Tbk.,2013-01-10T00:00:00,3550001452.0,Pemantauan Khusus
HRUM,Harum Energy Tbk.,2010-10-06T00:00:00,13518100000.0,Utama
IATA,Karya Pacific Energy Tbk.,2006-09-13T00:00:00,31275829981.0,Pengembangan
IBFN,Intan Baru Prana Tbk.,2014-12-22T00:00:00,1517332349.0,Pemantauan Khusus
IBST,Inti Bangun Sejahtera Tbk.,2012-08-31T00:00:00,1350904927.0,Pemantauan Khusus
ICBP,Indofood CBP Sukses Makmur Tbk,2010-10-07T00:00:00,11661908000.0,Utama
ICON,Island Concepts Indonesia Tbk.,2005-07-08T00:00:00,1089750000.0,Pengembangan
IGAR,Champion Pacific Indonesia Tbk,1990-11-05T00:00:00,927780600.0,Pengembangan
IIKP,Inti Agri Resources Tbk,2002-10-14T00:00:00,33600000000.0,Pemantauan Khusus
IKAI,Intikeramik Alamasri Industri ,1997-06-04T00:00:00,13305799387.0,Pemantauan Khusus
IKBI,Sumi Indo Kabel Tbk.,1991-01-21T00:00:00,1224000000.0,Pengembangan
IMAS,Indomobil Sukses Internasional,1993-11-15T00:00:00,3994291039.0,Utama
IMJS,Indomobil Multi Jasa Tbk.,2013-12-10T00:00:00,10849262500.0,Pengembangan
IMPC,Impack Pratama Industri Tbk.,2014-12-17T00:00:00,54907000000.0,Utama
INAF,Indofarma Tbk.,2001-04-17T00:00:00,3099267500.0,Pemantauan Khusus
INAI,Indal Aluminium Industry Tbk.,1994-12-05T00:00:00,633600000.0,Pengembangan
INCI,Intanwijaya Internasional Tbk,1990-07-24T00:00:00,207656617.0,Pengembangan
INCO,Vale Indonesia Tbk.,1990-05-16T00:00:00,10539784534.0,Utama
INDF,Indofood Sukses Makmur Tbk.,1994-07-14T00:00:00,8780426500.0,Utama
INDR,Indo-Rama Synthetics Tbk.,1990-08-03T00:00:00,654351707.0,Pengembangan
INDS,Indospring Tbk.,1990-08-10T00:00:00,6562497100.0,Pengembangan
INDX,Tanah Laut Tbk,2001-05-17T00:00:00,437913588.0,Pengembangan
INDY,Indika Energy Tbk.,2008-06-11T00:00:00,5210192000.0,Utama
INKP,Indah Kiat Pulp & Paper Tbk.,1990-07-16T00:00:00,5470982941.0,Utama
INPC,Bank Artha Graha Internasional,1990-08-23T00:00:00,20021178779.0,Utama
INPP,Indonesian Paradise Property T,2004-01-12T00:00:00,11181971732.0,Pengembangan
INRU,Toba Pulp Lestari Tbk.,1990-06-18T00:00:00,1388883283.0,Pemantauan Khusus
INTA,Intraco Penta Tbk.,1993-08-23T00:00:00,3343935022.0,Pemantauan Khusus
INTD,Inter Delta Tbk,1989-12-18T00:00:00,591828000.0,Pengembangan
INTP,Indocement Tunggal Prakarsa Tb,1989-12-05T00:00:00,3431073399.0,Utama
IPOL,Indopoly Swakarsa Industry Tbk,2010-07-09T00:00:00,6443379509.0,Pengembangan
ISAT,Indosat Tbk.,1994-10-19T00:00:00,32250810957.0,Utama
ISSP,Steel Pipe Industry of Indones,2013-02-22T00:00:00,7185992035.0,Utama
ITMA,Sumber Energi Andalan Tbk.,1990-12-10T00:00:00,999053167.0,Pengembangan
ITMG,Indo Tambangraya Megah Tbk.,2007-12-18T00:00:00,1129925000.0,Utama
JAWA,Jaya Agra Wattie Tbk.,2011-05-30T00:00:00,16232951842.0,Pengembangan
JECC,Jembo Cable Company Tbk.,1992-11-18T00:00:00,756000000.0,Pengembangan
JIHD,Jakarta International Hotels &,1984-02-29T00:00:00,2329040482.0,Utama
JKON,Jaya Konstruksi Manggala Prata,2007-12-04T00:00:00,16308519860.0,Utama
JPFA,Japfa Comfeed Indonesia Tbk.,1989-10-23T00:00:00,11726575201.0,Utama
JRPT,Jaya Real Property Tbk.,1994-06-29T00:00:00,12910719100.0,Utama
JSMR,Jasa Marga (Persero) Tbk.,2007-11-12T00:00:00,7257871200.0,Utama
JSPT,Jakarta Setiabudi Internasiona,1998-01-12T00:00:00,2318736000.0,Utama
JTPE,Jasuindo Tiga Perkasa Tbk.,2002-04-16T00:00:00,6852050000.0,Utama
KAEF,Kimia Farma (Persero) Tbk.,2001-07-04T00:00:00,5566589677.0,Pengembangan
KARW,Meratus Jasa Prima Tbk.,1994-12-20T00:00:00,587152700.0,Pemantauan Khusus
KBLI,KMI Wire & Cable Tbk.,1992-07-06T00:00:00,4007235107.0,Utama
KBLM,Kabelindo Murni Tbk.,1992-06-01T00:00:00,1120000000.0,Pengembangan
KBLV,First Media Tbk.,2000-02-25T00:00:00,1742167907.0,Pengembangan
KBRI,Kertas Basuki Rachmat Indonesi,2008-07-11T00:00:00,8687995734.0,Pemantauan Khusus
KDSI,Kedawung Setia Industrial Tbk.,1996-07-29T00:00:00,1620000000.0,Pengembangan
KIAS,Keramika Indonesia Assosiasi T,1994-12-08T00:00:00,14929100000.0,Pemantauan Khusus
KICI,Kedaung Indah Can Tbk,1993-10-28T00:00:00,276000000.0,Pengembangan
KIJA,Kawasan Industri Jababeka Tbk.,1995-01-10T00:00:00,20824888369.0,Utama
KKGI,Resource Alam Indonesia Tbk.,1991-07-01T00:00:00,5000000000.0,Utama
KLBF,Kalbe Farma Tbk.,1991-07-30T00:00:00,46813391540.0,Utama
KOBX,Kobexindo Tractors Tbk.,2012-07-05T00:00:00,2272500000.0,Pengembangan
KOIN,Kokoh Inti Arebama Tbk,2008-04-09T00:00:00,980843732.0,Pemantauan Khusus
KONI,Perdana Bangun Pusaka Tbk,1995-08-22T00:00:00,312000000.0,Pengembangan
KOPI,Mitra Energi Persada Tbk.,2015-05-04T00:00:00,697266668.0,Pengembangan
KPIG,MNC Tourism Indonesia Tbk.,2000-03-30T00:00:00,107312842189.0,Utama
KRAS,Krakatau Steel (Persero) Tbk.,2010-11-10T00:00:00,19346396900.0,Pengembangan
KREN,Quantum Clovera Investama Tbk.,2002-06-28T00:00:00,18208470100.0,Pemantauan Khusus
LAPD,Leyand International Tbk.,2001-07-17T00:00:00,3966350139.0,Pengembangan
LCGP,Eureka Prima Jakarta Tbk.,2007-07-13T00:00:00,5630000914.0,Pemantauan Khusus
LEAD,Logindo Samudramakmur Tbk.,2013-12-11T00:00:00,5799616328.0,Pengembangan
LINK,Link Net Tbk.,2014-06-02T00:00:00,2863195484.0,Pengembangan
LION,Lion Metal Works Tbk.,1993-08-20T00:00:00,520160000.0,Pengembangan
LMAS,Limas Indonesia Makmur Tbk,2001-12-28T00:00:00,787851525.0,Pemantauan Khusus
LMPI,Langgeng Makmur Industri Tbk.,1994-10-17T00:00:00,1008517669.0,Pengembangan
LMSH,Lionmesh Prima Tbk.,1990-06-04T00:00:00,96000000.0,Pemantauan Khusus
LPCK,Lippo Cikarang Tbk,1997-07-24T00:00:00,5134685692.0,Utama
LPGI,Lippo General Insurance Tbk.,1997-07-22T00:00:00,3000000000.0,Pengembangan
LPIN,Multi Prima Sejahtera Tbk,1990-02-05T00:00:00,425000000.0,Pengembangan
LPKR,Lippo Karawaci Tbk.,1996-06-28T00:00:00,70898018369.0,Utama
LPLI,Star Pacific Tbk,1989-10-23T00:00:00,1170432803.0,Pengembangan
LPPF,MDS Retailing Tbk.,1989-10-09T00:00:00,2227279280.0,Utama
LPPS,Lenox Pasifik Investama Tbk.,1994-03-28T00:00:00,2588250000.0,Pengembangan
LRNA,Eka Sari Lorena Transport Tbk.,2014-04-15T00:00:00,350000022.0,Pengembangan
LSIP,PP London Sumatra Indonesia Tb,1996-07-05T00:00:00,6819963965.0,Utama
LTLS,Lautan Luas Tbk.,1997-07-21T00:00:00,1560000000.0,Utama
MAGP,Multi Agro Gemilang Plantation,2013-01-16T00:00:00,9000000004.0,Pemantauan Khusus
MAIN,Malindo Feedmill Tbk.,2006-02-10T00:00:00,2238750000.0,Utama
MAPI,Mitra Adiperkasa Tbk.,2004-11-10T00:00:00,16600000000.0,Utama
MAYA,Bank Mayapada Internasional Tb,1997-08-29T00:00:00,25906179152.0,Utama
MBAP,Mitrabara Adiperdana Tbk.,2014-07-10T00:00:00,1227271952.0,Pengembangan
MBSS,Mitrabahtera Segara Sejati Tbk,2011-04-06T00:00:00,1750026639.0,Utama
MBTO,Martina Berto Tbk.,2011-01-13T00:00:00,1070000000.0,Pengembangan
MCOR,Bank China Construction Bank I,2007-07-03T00:00:00,37540533209.0,Utama
MDIA,Intermedia Capital Tbk.,2014-04-11T00:00:00,39215538400.0,Pengembangan
MDKA,Merdeka Copper Gold Tbk.,2015-06-19T00:00:00,24472983771.0,Utama
MDLN,Modernland Realty Tbk.,1993-01-18T00:00:00,12533067322.0,Pengembangan
MDRN,Modern Internasional Tbk.,1991-07-16T00:00:00,7632167798.0,Pemantauan Khusus
MEDC,Medco Energi Internasional Tbk,1994-10-12T00:00:00,25136231252.0,Utama
MEGA,Bank Mega Tbk.,2000-04-17T00:00:00,23247028262.0,Utama
MERK,Merck Tbk.,1981-07-23T00:00:00,448000000.0,Utama
META,Nusantara Infrastructure Tbk.,2001-07-18T00:00:00,17710708194.0,Pengembangan
MFMI,Multifiling Mitra Indonesia Tb,2010-12-29T00:00:00,757581000.0,Pemantauan Khusus
MGNA,Magna Investama Mandiri Tbk.,2014-07-08T00:00:00,3411123326.0,Pengembangan
MICE,Multi Indocitra Tbk.,2005-12-21T00:00:00,600000000.0,Pengembangan
